iter	Passed	Remaining
0	26	26140
1	51	25655
2	76	25339
3	100	25081
4	129	25806
5	155	25823
6	179	25442
7	203	25224
8	225	24834
9	247	24483
10	269	24248
11	293	24135
12	315	23957
13	338	23865
14	362	23786
15	391	24069
16	414	23986
17	438	23946
18	462	23881
19	486	23828
20	509	23738
21	533	23713
22	557	23693
23	580	23613
24	603	23535
25	630	23603
26	653	23547
27	676	23482
28	699	23430
29	724	23421
30	748	23400
31	771	23336
32	796	23345
33	820	23319
34	844	23295
35	868	23249
36	893	23260
37	915	23186
38	938	23121
39	961	23078
40	984	23035
41	1007	22985
42	1031	22954
43	1054	22919
44	1080	22934
45	1102	22860
46	1126	22845
47	1148	22788
48	1173	22775
49	1195	22723
50	1218	22674
51	1244	22681
52	1269	22682
53	1292	22637
54	1317	22630
55	1340	22605
56	1363	22549
57	1385	22510
58	1411	22518
59	1435	22484
60	1464	22542
61	1498	22669
62	1535	22837
63	1562	22855
64	1593	22923
65	1624	22987
66	1648	22958
67	1672	22918
68	1696	22885
69	1724	22913
70	1749	22891
71	1773	22856
72	1796	22809
73	1820	22782
74	1848	22801
75	1877	22823
76	1903	22819
77	1929	22802
78	1957	22825
79	1991	22901
80	2022	22945
81	2056	23024
82	2082	23004
83	2105	22958
84	2128	22910
85	2151	22864
86	2179	22873
87	2208	22886
88	2231	22845
89	2255	22802
90	2277	22747
91	2300	22701
92	2322	22649
93	2343	22591
94	2368	22559
95	2390	22513
96	2414	22474
97	2437	22438
98	2461	22400
99	2481	22337
100	2506	22310
101	2529	22269
102	2549	22204
103	2572	22166
104	2594	22112
105	2616	22070
106	2638	22017
107	2664	22007
108	2686	21958
109	2710	21931
110	2734	21898
111	2758	21872
112	2780	21829
113	2804	21800
114	2827	21758
115	2852	21739
116	2876	21711
117	2901	21689
118	2925	21657
119	2948	21618
120	2973	21599
121	2997	21571
122	3023	21558
123	3051	21554
124	3076	21536
125	3112	21586
126	3148	21642
127	3180	21666
128	3205	21641
129	3232	21629
130	3259	21619
131	3285	21607
132	3315	21613
133	3341	21592
134	3368	21585
135	3389	21534
136	3411	21491
137	3434	21451
138	3456	21413
139	3480	21379
140	3501	21330
141	3523	21289
142	3546	21255
143	3568	21210
144	3590	21173
145	3614	21141
146	3638	21114
147	3662	21082
148	3686	21056
149	3709	21018
150	3733	20990
151	3759	20974
152	3783	20947
153	3805	20906
154	3829	20874
155	3852	20840
156	3875	20807
157	3897	20770
158	3919	20733
159	3942	20698
160	3966	20668
161	3989	20639
162	4016	20623
163	4041	20600
164	4064	20571
165	4088	20542
166	4112	20511
167	4135	20481
168	4159	20452
169	4182	20418
170	4203	20380
171	4228	20353
172	4250	20318
173	4273	20289
174	4296	20256
175	4317	20212
176	4341	20185
177	4363	20151
178	4389	20133
179	4415	20114
180	4440	20092
181	4463	20060
182	4486	20030
183	4509	19997
184	4530	19960
185	4553	19926
186	4574	19890
187	4598	19861
188	4622	19833
189	4642	19790
190	4664	19755
191	4687	19728
192	4711	19701
193	4735	19676
194	4759	19647
195	4780	19610
196	4809	19603
197	4831	19569
198	4854	19540
199	4878	19512
200	4900	19481
201	4922	19448
202	4945	19418
203	4970	19394
204	4997	19379
205	5019	19348
206	5044	19323
207	5068	19297
208	5094	19282
209	5117	19251
210	5138	19215
211	5163	19192
212	5190	19176
213	5213	19148
214	5236	19119
215	5259	19090
216	5282	19060
217	5304	19026
218	5327	18997
219	5349	18967
220	5369	18928
221	5392	18896
222	5414	18865
223	5436	18832
224	5460	18809
225	5483	18779
226	5506	18751
227	5529	18722
228	5549	18683
229	5571	18653
230	5594	18623
231	5617	18595
232	5639	18565
233	5660	18528
234	5682	18499
235	5704	18465
236	5730	18448
237	5755	18426
238	5780	18405
239	5805	18383
240	5831	18366
241	5857	18345
242	5880	18320
243	5903	18291
244	5926	18263
245	5949	18233
246	5973	18211
247	6002	18201
248	6027	18180
249	6051	18153
250	6072	18121
251	6099	18103
252	6121	18074
253	6146	18051
254	6171	18031
255	6197	18010
256	6219	17979
257	6243	17955
258	6265	17926
259	6289	17902
260	6311	17870
261	6335	17846
262	6358	17817
263	6381	17789
264	6404	17764
265	6427	17735
266	6452	17714
267	6477	17691
268	6507	17683
269	6531	17657
270	6555	17634
271	6579	17610
272	6602	17583
273	6624	17552
274	6645	17519
275	6667	17488
276	6688	17458
277	6711	17430
278	6733	17401
279	6758	17378
280	6779	17347
281	6802	17318
282	6827	17297
283	6850	17271
284	6874	17247
285	6895	17214
286	6917	17186
287	6940	17158
288	6969	17146
289	6993	17122
290	7018	17100
291	7043	17077
292	7064	17045
293	7088	17021
294	7109	16990
295	7131	16961
296	7155	16937
297	7180	16914
298	7202	16885
299	7224	16857
300	7246	16828
301	7269	16802
302	7292	16775
303	7318	16754
304	7341	16728
305	7367	16709
306	7391	16685
307	7415	16660
308	7437	16632
309	7460	16606
310	7484	16580
311	7507	16555
312	7529	16527
313	7558	16513
314	7582	16489
315	7605	16461
316	7626	16432
317	7650	16408
318	7676	16387
319	7697	16358
320	7721	16332
321	7745	16308
322	7768	16283
323	7791	16256
324	7814	16229
325	7838	16205
326	7862	16181
327	7883	16151
328	7908	16129
329	7932	16104
330	7959	16087
331	7986	16069
332	8011	16047
333	8036	16024
334	8057	15994
335	8078	15964
336	8101	15937
337	8124	15912
338	8150	15892
339	8174	15868
340	8196	15839
341	8219	15814
342	8242	15787
343	8266	15763
344	8288	15737
345	8314	15715
346	8335	15686
347	8357	15658
348	8379	15630
349	8402	15603
350	8423	15574
351	8450	15556
352	8473	15531
353	8497	15507
354	8520	15480
355	8542	15452
356	8564	15426
357	8593	15410
358	8614	15381
359	8638	15356
360	8660	15330
361	8684	15305
362	8713	15290
363	8736	15264
364	8759	15239
365	8783	15215
366	8802	15182
367	8824	15154
